Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude,geometry,Location Returned,Location Returned Split,Postal Code
2015,22/9,22/9/2015,Johor,Johor Bahru,Kg. Pasir,"Kg. Pasir, Johor Bahru, Johor",1,1.4966718,103.701202,POINT (103.701202 1.4966718),"Kampong Pasir, Skudai Highway, Taman Tampoi, Tampoi, Johor Bahru, Iskandar Malaysia, Johor, 81200, Malaysia","['Kampong Pasir', 'Skudai Highway', 'Taman Tampoi', 'Tampoi', 'Johor Bahru', 'Iskandar Malaysia', 'Johor', '81200', 'Malaysia']",81200
2015,11-May,5/11/2015,Johor,Johor Bahru,Kg. Pasir,"Kg. Pasir, Johor Bahru, Johor",1,1.4966718,103.701202,POINT (103.701202 1.4966718),"Kampong Pasir, Skudai Highway, Taman Tampoi, Tampoi, Johor Bahru, Iskandar Malaysia, Johor, 81200, Malaysia","['Kampong Pasir', 'Skudai Highway', 'Taman Tampoi', 'Tampoi', 'Johor Bahru', 'Iskandar Malaysia', 'Johor', '81200', 'Malaysia']",81200
2015,11-Nov,11/11/2015,Johor,Tangkak,"Kg. Pulau Penarik, Sg. Mati","Kg. Pulau Penarik, Sg. Mati, Tangkak, Johor",1,2.1371497,102.5671953,POINT (102.5671953 2.1371497),"Kampung Pulau Penarek, Sungai Mati, Tangkak, Johor, 84400, Malaysia","['Kampung Pulau Penarek', 'Sungai Mati', 'Tangkak', 'Johor', '84400', 'Malaysia']",84400
2015,11-Nov,11/11/2015,Johor,Kluang,Kg. Paya Mas,"Kg. Paya Mas, Kluang, Johor",1,1.844126,103.3014763,POINT (103.3014763 1.844126),"Kampung Paya Mas, Simpang Renggam, Kluang, Johor, 86200, Malaysia","['Kampung Paya Mas', 'Simpang Renggam', 'Kluang', 'Johor', '86200', 'Malaysia']",86200
2015,11-Nov,11/11/2015,Johor,Kluang,Kg. Sg. Linau,"Kg. Sg. Linau, Kluang, Johor",1,1.82990355,103.2651515,POINT (103.2651514753716 1.82990355),"Klinik Desa Kg. Sg. Linau, Jalan Imam Supian, Kampung Sungai Linau, Kluang, Johor, 86200, Malaysia","['Klinik Desa Kg. Sg. Linau', 'Jalan Imam Supian', 'Kampung Sungai Linau', 'Kluang', 'Johor', '86200', 'Malaysia']",86200
2015,11-Nov,11/11/2015,Johor,Kluang,Kg. Ithnin Maarof,"Kg. Ithnin Maarof, Kluang, Johor",1,2.0437391,103.3207494,POINT (103.3207494 2.0437391),"Jalan Haji Ithnin Maarof, Taman Suria Jaya, Kluang, Johor, 86000, Malaysia","['Jalan Haji Ithnin Maarof', 'Taman Suria Jaya', 'Kluang', 'Johor', '86000', 'Malaysia']",86000
2015,17/11,17/11/2015,Johor,Batu Pahat,Tongkang Pecah,"Tongkang Pecah, Batu Pahat, Johor",1,1.91875895,102.9554502,POINT (102.95545019602139 1.91875895),"Jalan E, Taman Harmoni, Kampung Baru Tongkang Pecah, Tongkang Pechah, Batu Pahat, Johor, 83010, Malaysia","['Jalan E', 'Taman Harmoni', 'Kampung Baru Tongkang Pecah', 'Tongkang Pechah', 'Batu Pahat', 'Johor', '83010', 'Malaysia']",83010
2015,19/11,19/11/2015,Johor,Johor Bahru,Jalan Wong Ah Fook,"Jalan Wong Ah Fook, Johor Bahru, Johor",1,1.4618227,103.7633777,POINT (103.7633777 1.4618227),"Johor Bahru City Square, 106-108, Jalan Wong Ah Fook, Bukit Chagar, Kampung Ah Siang, Johor Bahru, Iskandar Malaysia, Johor, 80000, Malaysia","['Johor Bahru City Square', '106-108', 'Jalan Wong Ah Fook', 'Bukit Chagar', 'Kampung Ah Siang', 'Johor Bahru', 'Iskandar Malaysia', 'Johor', '80000', 'Malaysia']",80000
2015,4-Jan,1/4/2015,Kedah,Kota Setar,Jalan Sultan Badlishah,"Jalan Sultan Badlishah, Kota Setar, Kedah",1,6.1187492,100.368634,POINT (100.368634 6.1187492),"Farmasi Mico, 1537, Jalan Sultan Badlishah, Alor Setar, Kota Setar, Kedah, 05000, Malaysia","['Farmasi Mico', '1537', 'Jalan Sultan Badlishah', 'Alor Setar', 'Kota Setar', 'Kedah', '05000', 'Malaysia']",05000
2015,30/4,30/4/2015,Kedah,Kota Setar,Jalan Telok Wanjah,"Jalan Telok Wanjah, Kota Setar, Kedah",1,6.123691,100.3736947,POINT (100.3736947 6.123691),"Nana Rest, Jalan Telok Wanjah, Taman Stadium, Kampung Khatijah, Alor Setar, Kota Setar, Kedah, 05100, Malaysia","['Nana Rest', 'Jalan Telok Wanjah', 'Taman Stadium', 'Kampung Khatijah', 'Alor Setar', 'Kota Setar', 'Kedah', '05100', 'Malaysia']",05100
2015,30/4,30/4/2015,Kedah,Kulim,Kg. Bukit Sarang Ayam,"Kg. Bukit Sarang Ayam, Kulim, Kedah",1,5.456389,100.5707418,POINT (100.5707418 5.456389),"Kampung Bukit Sarang Ayam, Kulim, Kedah, 09600, Malaysia","['Kampung Bukit Sarang Ayam', 'Kulim', 'Kedah', '09600', 'Malaysia']",09600
2015,5-Dec,12/5/2015,Kedah,Kulim,Kg. Ayer Merah,"Kg. Ayer Merah, Kulim, Kedah",1,5.362498,100.5313697,POINT (100.5313697 5.362498),"Jalan Kempas 19, Taman Kempas Merah, Kulim, Kedah, 09000, Malaysia","['Jalan Kempas 19', 'Taman Kempas Merah', 'Kulim', 'Kedah', '09000', 'Malaysia']",09000
2015,5-Dec,12/5/2015,Kedah,Kulim,Kg. Sg. Seluang,"Kg. Sg. Seluang, Kulim, Kedah",1,5.447666,100.5513591,POINT (100.5513591 5.447666),"Jalan Jambatan Lunas, Taman Makmur, Sungai Seluang, Kulim, Kedah, 09600, Malaysia","['Jalan Jambatan Lunas', 'Taman Makmur', 'Sungai Seluang', 'Kulim', 'Kedah', '09600', 'Malaysia']",09600
2015,17/5,17/5/2015,Kedah,Kota Setar,Taman Ambar,"Taman Ambar, Kota Setar, Kedah",1,6.12700385,100.3772433,POINT (100.3772432874695 6.12700385),"Taman Ambar, Alor Setar, Kota Setar, Kedah, 05450, Malaysia","['Taman Ambar', 'Alor Setar', 'Kota Setar', 'Kedah', '05450', 'Malaysia']",05450
2015,17/5,17/5/2015,Kedah,Kota Setar,Lorong Perwira,"Lorong Perwira, Kota Setar, Kedah",1,6.1190316,100.3763072,POINT (100.3763072 6.1190316),"Alor Setar, Kota Setar, Kedah, 05450, Malaysia","['Alor Setar', 'Kota Setar', 'Kedah', '05450', 'Malaysia']",05450
2015,17/5,17/5/2015,Kedah,Kota Setar,Lorong Pahlawan,"Lorong Pahlawan, Kota Setar, Kedah",1,6.1226879,100.3763925,POINT (100.3763925 6.1226879),"Yayasan Islam Negeri Kedah, Lorong Pahlawan, Taman Stadium, Kampung Khatijah, Alor Setar, Kota Setar, Kedah, 05450, Malaysia","['Yayasan Islam Negeri Kedah', 'Lorong Pahlawan', 'Taman Stadium', 'Kampung Khatijah', 'Alor Setar', 'Kota Setar', 'Kedah', '05450', 'Malaysia']",05450
2015,17/5,17/5/2015,Kedah,Kota Setar,Lorong Pendekar,"Lorong Pendekar, Kota Setar, Kedah",1,6.1204061,100.3782393,POINT (100.3782393 6.1204061),"Alor Setar, Kota Setar, Kedah, 05450, Malaysia","['Alor Setar', 'Kota Setar', 'Kedah', '05450', 'Malaysia']",05450
2015,31/5,31/5/2015,Kedah,Kubang Pasu,Kg. Belukar,"Kg. Belukar, Kubang Pasu, Kedah",1,6.2793125,100.3779871,POINT (100.3779871 6.2793125),"Lorong Belukar, Kampung Pulau Kechik, Kubang Pasu, Kedah, 06000, Malaysia","['Lorong Belukar', 'Kampung Pulau Kechik', 'Kubang Pasu', 'Kedah', '06000', 'Malaysia']",06000
2015,31/5,31/5/2015,Kedah,Kubang Pasu,Kg. Kubang Betong,"Kg. Kubang Betong, Kubang Pasu, Kedah",1,6.380919,100.4415285,POINT (100.4415285 6.380919),"K107, Kampung Kubang Betong, Kampung Kangar, Bukit Kachi, Kubang Pasu, Kedah, 06010, Malaysia","['K107', 'Kampung Kubang Betong', 'Kampung Kangar', 'Bukit Kachi', 'Kubang Pasu', 'Kedah', '06010', 'Malaysia']",06010
2015,6-Aug,8/6/2015,Kedah,Kulim,Kg. Terap,"Kg. Terap, Kulim, Kedah",1,5.2861845,100.6272266,POINT (100.6272266 5.2861845),"Pejabat Penghulu Mukim Terap Daerah Kulim, Jalan Kuala Ketil – Merbau Pulas – Lunas – Bandar Baharu, Kampung Batu 10, Terap, Kulim, Kedah, 09800, Malaysia","['Pejabat Penghulu Mukim Terap Daerah Kulim', 'Jalan Kuala Ketil – Merbau Pulas – Lunas – Bandar Baharu', 'Kampung Batu 10', 'Terap', 'Kulim', 'Kedah', '09800', 'Malaysia']",09800
2015,6-Aug,8/6/2015,Kedah,Kulim,Jln. Sg. Punti,"Jln. Sg. Punti, Kulim, Kedah",1,5.2447826,100.6021211,POINT (100.6021211 5.2447826),"Jalan Kuala Ketil – Merbau Pulas – Lunas – Bandar Baharu, Sungai Punti, Bandar Baharu, Kedah, 09800, Malaysia","['Jalan Kuala Ketil – Merbau Pulas – Lunas – Bandar Baharu', 'Sungai Punti', 'Bandar Baharu', 'Kedah', '09800', 'Malaysia']",09800
2015,6-Aug,8/6/2015,Kedah,Kulim,Jln. Kg. Batu 12,"Jln. Kg. Batu 12, Kulim, Kedah",1,5.2773791,100.6190667,POINT (100.6190667 5.2773791),"Jalan Kuala Ketil – Merbau Pulas – Lunas – Bandar Baharu, Kampung Batu 10, Terap, Kulim, Kedah, 09800, Malaysia","['Jalan Kuala Ketil – Merbau Pulas – Lunas – Bandar Baharu', 'Kampung Batu 10', 'Terap', 'Kulim', 'Kedah', '09800', 'Malaysia']",09800
2015,6-Aug,8/6/2015,Kedah,Bandar Baharu,Kg. Leret,"Kg. Leret, Bandar Baharu, Kedah",1,5.225527,100.6006643,POINT (100.6006643 5.225527),"Kampung Leret, Serdang, Bandar Baharu, Kedah, 09800, Malaysia","['Kampung Leret', 'Serdang', 'Bandar Baharu', 'Kedah', '09800', 'Malaysia']",09800
2015,6-Aug,8/6/2015,Kedah,Bandar Baharu,Kg. Sg. Air Puteh,"Kg. Sg. Air Puteh, Bandar Baharu, Kedah",1,5.1874842,100.5729112,POINT (100.5729112 5.1874842),"Jalan Air Putih / Sungai Keceil Ilir, Sungai Kechil Hilir, Ayer Puteh, Bandar Baharu, Kedah, 09800, Malaysia","['Jalan Air Putih / Sungai Keceil Ilir', 'Sungai Kechil Hilir', 'Ayer Puteh', 'Bandar Baharu', 'Kedah', '09800', 'Malaysia']",09800
