Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude
2015.0,1/1,1/1/2015,Johor,Tangkak,Kg. Seberang Gajah,"Kg. Seberang Gajah, Tangkak, Johor",1,,
2015.0,1/1,1/1/2015,Johor,Tangkak,Kg. Sialang Dalam,"Kg. Sialang Dalam, Tangkak, Johor",1,,
2015.0,3/1,3/1/2015,Johor,Kota Tinggi,Kg. Lepau,"Kg. Lepau, Kota Tinggi, Johor",1,1.3896034,104.14935756666667
2015.0,12/8,12/8/2015,Johor,Tangkak,Kg. Seri Makmor,"Kg. Seri Makmor, Tangkak, Johor",1,,
2015.0,12/8,12/8/2015,Johor,Tangkak,Kg. Seberang Gajah,"Kg. Seberang Gajah, Tangkak, Johor",1,,
2015.0,12/8,12/8/2015,Johor,Tangkak,Kg. Sialang Dalam,"Kg. Sialang Dalam, Tangkak, Johor",1,,
2015.0,22/9,22/9/2015,Johor,Johor Bahru,Kg. Pasir,"Kg. Pasir, Johor Bahru, Johor",1,1.4966718,103.701202
2015.0,29/9,29/9/2015,Johor,Johor Bahru,Kg. Cahaya Baru Masai,"Kg. Cahaya Baru Masai, Johor Bahru, Johor",1,,
2015.0,29/9,29/9/2015,Johor,Johor Bahru,Kg. Bukit Pulai,"Kg. Bukit Pulai, Johor Bahru, Johor",1,,
2015.0,5/11,5/11/2015,Johor,Johor Bahru,Kg. Laut Bt. 10,"Kg. Laut Bt. 10, Johor Bahru, Johor",1,,
2015.0,5/11,5/11/2015,Johor,Johor Bahru,Kg. Pasir,"Kg. Pasir, Johor Bahru, Johor",1,1.4966718,103.701202
2015.0,11/11,11/11/2015,Johor,Tangkak,"Kg. Pulau Penarik, Sg. Mati","Kg. Pulau Penarik, Sg. Mati, Tangkak, Johor",1,2.1371497,102.5671953
2015.0,11/11,11/11/2015,Johor,Kluang,Kg. Hj. Noor,"Kg. Hj. Noor, Kluang, Johor",1,,
2015.0,11/11,11/11/2015,Johor,Kluang,Kg. Sg. Rambai,"Kg. Sg. Rambai, Kluang, Johor",1,,
2015.0,11/11,11/11/2015,Johor,Kluang,Kg. Paya Mas,"Kg. Paya Mas, Kluang, Johor",1,1.844126,103.3014763
2015.0,11/11,11/11/2015,Johor,Kluang,Kg. Kolam Air,"Kg. Kolam Air, Kluang, Johor",1,,
2015.0,11/11,11/11/2015,Johor,Kluang,Kg. Sg. Linau,"Kg. Sg. Linau, Kluang, Johor",1,1.82990355,103.2651514753716
2015.0,11/11,11/11/2015,Johor,Kluang,Kg. Sri Maju Jaya,"Kg. Sri Maju Jaya, Kluang, Johor",1,,
2015.0,11/11,11/11/2015,Johor,Kluang,Kg. Ithnin Maarof,"Kg. Ithnin Maarof, Kluang, Johor",1,2.0437391,103.3207494
2015.0,17/11,17/11/2015,Johor,Batu Pahat,Kompleks Pertanian Bersepadu,"Kompleks Pertanian Bersepadu, Batu Pahat, Johor",1,,
2015.0,17/11,17/11/2015,Johor,Batu Pahat,Tongkang Pecah,"Tongkang Pecah, Batu Pahat, Johor",1,1.91875895,102.95545019602139
2015.0,19/11,19/11/2015,Johor,Johor Bahru,Jalan Wong Ah Fook,"Jalan Wong Ah Fook, Johor Bahru, Johor",1,1.4618227,103.7633777
2015.0,13/12,13/12/2015,Johor,Pontian,"Jalan Pt, 1/51, Penerok","Jalan Pt, 1/51, Penerok, Pontian, Johor",1,,
